ID Zone Row Col Volts Deg. Depth Side Eval Channel Location Extent

1 B 1 31 0.000 0 PLG 0.000

2 B 3 28 0.000 0 PLG 0.000

3 B 4 29 0.000 0 PLG 0.000

4 B 5 21 0.000 0 PLG 0.000

5 B 9 36 0.000 0 PLG 0.000

6 B 20 26 0.000 0 PLG 0.000

7 B 21 32 0.000 0 PLG 0.000

8 B 22 33 0.000 0 PLG 0.000

9 B 23 9 0.000 0 PLG 0.000

10 B 24 56 0.000 0 PLG 0.000

11 B 26 1 0.000 0 PLG 0.000

12 B 26 32 0.000 0 PLG 0.000

13 B 27 30 0.000 0 PLG 0.000

14 B 29 24 0.000 0 PLG 0.000

15 B 29 29 0.000 0 PLG 0.000

16 B 30 9 0.000 0 PLG 0.000

17 B 1 2 0.990 4 13.59 In PIT D180 TSP7 + 0.126m 0.020

18 B 1 3 0.580 6 18.63 In PIT D180 TSP10 + 0.337m 0.020

19 B 1 4 0.730 5 14.85 In PIT D180 TSP8 + 0.350m 0.020

20 B 1 5 0.800 5 14.92 In PIT D180 TSP7 + 0.336m 0.010

21 B 1 6 0.880 6 18.26 In PIT D180 TSP8 + 0.396m 0.030

22 B 1 8 0.780 6 17.67 In PIT D180 TSP9 + 0.136m 0.020

23 B 1 11 1.050 4 13.87 In PIT D180 TSP6 + 0.122m 0.030

24 B 1 13 1.330 4 13.35 In PIT D180 TSP9 + 0.507m 0.020

25 B 1 15 0.650 5 15.37 In PIT D180 TSP7 + 0.063m 0.030

26 B 1 16 1.130 7 21.76 In PIT D180 TSP11 + 0.071m 0.020

27 B 1 17 0.770 6 17.61 In PIT D180 TSP5 + 0.467m 0.030

28 B 1 19 1.290 7 20.83 In PIT D180 TSP10 + 0.778m 0.040

29 B 1 21 1.920 4 16.13 In PIT D180 TSP11 + 0.026m 0.010

30 B 1 22 3.320 9 27.85 In PIT D180 TSP10 + 0.173m 0.010

31 B 1 23 1.580 9 26.68 In PIT D180 TSP9 + 0.551m 0.020

32 B 1 25 0.930 2 11.66 In PIT D180 TSP2 + 0.188m 0.020

33 B 1 26 1.640 5 17.38 In PIT D180 TSP10 + 0.336m 0.030

34 B 1 27 1.570 6 21.14 In PIT D180 TSP5 + 0.275m 0.020

35 B 1 28 1.150 3 14.32 In PIT D180 TSP10 + 0.344m 0.020

36 B 1 33 0.730 5 19.27 In PIT D180 TSP7 + 0.531m 0.020

37 B 1 34 1.240 9 28.15 In PIT D180 TSP9 + 0.735m 0.020

38 B 1 35 0.540 6 19.61 In PIT D180 TSP9 + 0.092m 0.010

39 B 1 36 0.930 4 15.54 In PIT D180 TSP11 + 0.483m 0.030

40 B 1 37 1.130 3 13.12 In PIT D180 TSP5 + 0.214m 0.010

41 B 1 38 0.860 7 22.37 In PIT D180 TSP4 + 0.394m 0.010

42 B 1 39 1.160 6 20.77 In PIT D180 TSP10 + 0.279m 0.020

43 B 1 40 1.070 4 15.63 In PIT D180 TSP11 + 0.373m 0.020

44 B 1 41 0.960 7 22.60 In PIT D180 TSP9 + 0.239m 0.010

45 B 2 2 0.910 7 21.35 In PIT D180 TSP4 + 0.433m 0.030

46 B 2 6 1.100 3 10.06 In PIT D180 TSP5 + 0.489m 0.020

47 B 2 7 1.170 4 13.16 In PIT D180 TSP9 + 0.112m 0.010

48 B 2 8 1.210 6 17.13 In PIT D180 TSP9 + 0.479m 0.010

49 B 2 9 0.870 6 18.49 In PIT D180 TSP10 + 0.285m 0.020

50 B 2 12 1.520 6 19.15 In PIT D180 TEO + 0.166m 0.020

51 B 2 13 1.200 7 20.31 In PIT D180 TSP11 + 0.310m 0.030

52 B 2 14 1.670 8 23.35 In PIT D180 TSP8 + 0.413m 0.030

53 B 2 15 0.950 7 19.68 In PIT D180 TSP4 + 0.533m 0.040

54 B 2 16 1.280 5 15.39 In PIT D180 TSP4 + 0.489m 0.020

55 B 2 17 0.970 3 11.10 In PIT D180 TSP4 + 0.368m 0.030

56 B 2 18 1.270 4 12.59 In PIT D180 TSP7 + 0.364m 0.020

57 B 2 20 1.090 8 22.25 In PIT D180 TSP5 + 0.464m 0.040

58 B 2 22 1.000 6 17.59 In PIT D180 TSP7 + 0.475m 0.010

59 B 2 24 1.880 11 31.16 In PIT D180 TSP8 + 0.230m 0.020

60 B 2 25 0.750 10 28.83 In PIT D180 TSP9 + 0.444m 0.030

61 B 2 26 1.150 5 15.70 In PIT D180 TSP10 + 0.429m 0.030

62 B 2 27 1.170 8 24.24 In PIT D180 TSP9 + 0.262m 0.020

63 B 2 28 2.210 10 28.19 In PIT D180 TSP11 + 0.719m 0.030

64 B 2 30 0.700 5 15.55 In PIT D180 TSP8 + 0.446m 0.030

65 B 2 31 1.430 2 10.34 In PIT D180 TSP8 + 0.095m 0.020

66 B 2 34 0.780 6 21.63 In PIT D180 TSP9 + 0.261m 0.010

67 B 2 35 1.250 5 17.36 In PIT D180 TSP11 + 0.155m 0.020

68 B 2 36 1.000 6 20.74 In PIT D180 TSP11 + 0.305m 0.020

69 B 2 38 0.730 7 24.08 In PIT D180 TSP3 + 0.166m 0.020

70 B 2 40 1.030 9 28.61 In PIT D180 TSP5 + 0.203m 0.020

71 B 2 41 0.690 3 12.54 In PIT D180 TSP11 + 0.398m 0.020

72 B 2 43 1.690 7 22.30 In PIT D180 TSP9 + 0.210m 0.010

73 B 2 44 1.640 6 21.63 In PIT D180 TSP10 + 0.301m 0.030

74 B 2 45 1.130 7 22.59 In PIT D180 TSP11 + 0.142m 0.020

75 B 2 47 1.220 7 22.56 In PIT D180 TSP9 + 0.411m 0.010

76 B 2 48 3.400 4 15.24 In PIT D180 TSP6 + 0.170m 0.020

77 B 2 49 0.820 5 17.85 In PIT D180 TSP9 + 0.426m 0.010

78 B 2 51 1.120 5 18.51 In PIT D180 TSP9 + 0.156m 0.030

79 B 2 52 0.890 6 20.55 In PIT D180 TSP9 + 0.110m 0.020

80 B 3 1 1.040 6 18.33 In PIT D180 TSP6 + 0.528m 0.030

