ID Zone Row Col Volts Deg. Depth Side Eval Channel Location Extent

1 B-A 1 5 0.000 0 PLG 0.000

2 B-A 1 7 0.000 0 PLG 0.000

3 B-A 1 8 0.000 0 PLG 0.000

4 B-A 1 9 0.000 0 PLG 0.000

5 B-A 1 10 0.000 0 PLG 0.000

6 B-A 16 7 0.000 0 PLG 0.000

7 B-A 19 9 0.000 0 PLG 0.000

8 B-A 21 2 0.000 0 PLG 0.000

9 B-A 36 25 0.000 0 PLG 0.000

10 B-D 20 17 0.000 0 PLG 0.000

11 B-D 23 7 0.000 0 PLG 0.000

12 B-D 26 27 0.000 0 PLG 0.000

13 B-D 27 1 0.000 0 PLG 0.000

14 B-D 28 2 0.000 0 PLG 0.000

15 B-E 10 26 0.000 0 PLG 0.000

16 B-E 25 2 0.000 0 PLG 0.000

17 B-E 26 12 0.000 0 PLG 0.000

18 B-E 26 14 0.000 0 PLG 0.000

19 B-E 27 1 0.000 0 PLG 0.000

20 B-E 28 1 0.000 0 PLG 0.000

21 B-A 1 1 0.080 93 48.47 Out PIT D90 TSP14 + 0.687m 0.010

22 B-B 5 11 0.120 12 18.01 In PIT D180 TSP5 + 0.069m 0.010

23 B-D 28 1 0.240 103 27.73 Out PIT D90 TSP12 + 0.108m 0.010

24 B-E 21 21 0.180 95 32.50 Out PIT D90 TEO + 0.100m 0.010

25 B-E 22 20 0.430 79 65.78 Out PIT D90 TEO + 0.118m 0.060

26 B-D 26 16 0.000 0 OBS TEO + 0.300m 0.000

27 B-D 26 31 0.000 0 OBS 0.000

28 B-E 18 12 0.000 0 OBS TEO + 0.300m 0.000

29 B-E 28 18 0.000 0 OBS TEO + 0.700m 0.000

30 B-A 1 2 2.040 191 DNT MIX1 TSP6 + 0.008m 0.030

31 B-A 1 6 4.070 189 DNT D180 TSP8 + 0.045m 0.030

32 B-A 1 17 2.480 188 DNT D180 TSP12 + 0.448m 0.010

33 B-A 3 1 1.920 192 DNT MIX1 TSP6 + 0.006m 0.020

34 B-A 4 1 6.790 191 DNT MIX1 TSP6 + 0.003m 0.020

35 B-A 4 2 1.890 192 DNT MIX1 TSP6 + 0.004m 0.020

36 B-A 5 1 3.920 192 DNT MIX1 TSP6 + 0.004m 0.010

37 B-A 21 10 1.750 192 DNT D180 TSP8 + 0.056m 0.020

38 B-A 36 26 2.340 190 DNT D180 TSP13 + 0.475m 0.010

39 B-A 41 1 1.400 190 DNT D180 TSP15 + 0.076m 0.020

40 B-A 41 6 1.600 189 DNT D180 TSP16 + 0.169m 0.010

41 B-A 41 11 2.150 190 DNT D180 TSP16 + 0.142m 0.010

42 B-A 41 16 2.190 189 DNT D180 TSP15 + 0.112m 0.010

43 B-A 41 21 1.920 189 DNT D180 TSP16 + 0.281m 0.010

44 B-A 41 25 2.280 190 DNT D180 TSP15 + 0.106m 0.010

45 B-A 42 1 1.940 189 DNT D180 TSP16 + 0.135m 0.010

46 B-A 42 6 1.790 189 DNT D180 TSP15 + 0.065m 0.010

47 B-A 42 11 1.360 191 DNT D180 TSP16 + 0.150m 0.010

48 B-A 42 16 2.120 189 DNT D180 TSP15 + 0.300m 0.010

49 B-A 42 21 1.880 189 DNT D180 TSP16 + 0.150m 0.010

50 B-A 43 1 1.640 189 DNT D180 TSP15 + 0.103m 0.010

51 B-A 43 5 1.840 189 DNT D180 TSP16 + 0.131m 0.010

52 B-A 43 9 1.530 190 DNT D180 TSP16 + 0.114m 0.010

53 B-A 43 13 1.860 190 DNT D180 TSP16 + 0.134m 0.010

54 B-A 43 17 2.080 189 DNT D180 TSP16 + 0.029m 0.010

55 B-A 43 23 1.190 189 DNT D180 TSP15 + 0.139m 0.010

56 B-A 44 2 1.970 189 DNT D180 TSP15 + 0.100m 0.020

57 B-A 44 6 2.850 188 DNT D180 TSP15 + 0.125m 0.050

58 B-A 44 11 2.210 189 DNT D180 TSP15 + 0.097m 0.010

59 B-A 44 17 1.210 190 DNT D180 TSP15 + 0.090m 0.010

60 B-A 44 23 1.780 189 DNT D180 TSP15 + 0.089m 0.010

61 B-A 45 2 1.110 189 DNT D180 TSP16 + 0.110m 0.010

62 B-A 45 10 1.230 189 DNT D180 TSP16 + 0.135m 0.010

63 B-A 51 2 1.320 190 DNT D180 TSP16 + 0.262m 0.030

64 B-A 51 17 1.050 190 DNT D180 TSP16 + 0.212m 0.030

65 B-A 52 2 1.460 190 DNT D180 TSP16 + 0.220m 0.020

66 B-A 54 1 1.140 191 DNT D180 TSP16 + 0.173m 0.020

67 B-A 55 5 6.020 190 DNT D180 TSP12 + 0.179m 0.050

68 B-A 57 15 2.770 191 DNT D180 TSP12 + 0.113m 0.030

69 B-A 62 3 1.020 191 DNT D180 TSP16 + 0.106m 0.010

70 B-A 67 18 1.210 190 DNT D180 TSP4 + 0.087m 0.010

71 B-A 68 17 1.950 191 DNT D180 TSP16 + 0.093m 0.010

72 B-A 70 3 1.190 191 DNT D180 TSP15 + 0.120m 0.020

73 B-A 72 1 1.540 191 DNT D180 TSP16 + 0.203m 0.030

74 B-A 72 4 1.520 190 DNT D180 TSP4 + 0.100m 0.020

75 B-A 73 1 4.080 190 DNT D180 TSP4 + 0.093m 0.040

76 B-A 73 6 1.040 190 DNT D180 TSP16 + 0.316m 0.020

77 B-A 74 6 1.800 189 DNT D180 TSP16 + 0.284m 0.020

78 B-A 74 25 2.260 189 DNT D180 TSP13 + 0.286m 0.010

79 B-A 77 1 1.440 191 DNT D180 TSP9 + 0.125m 0.030

80 B-A 77 13 1.740 190 DNT D180 TSP15 + 0.201m 0.010

81 B-A 78 14 1.410 190 DNT D180 TSP14 + 0.285m 0.010

82 B-A 78 16 1.440 190 DNT D180 TSP15 + 0.209m 0.050

83 B-A 79 28 1.630 188 DNT MIX1 TSP16 + 0.012m 0.030

84 B-B 11 1 8.720 189 DNT D180 TSP4 + 0.222m 0.020

85 B-B 42 4 1.540 190 DNT D180 TSP16 + 0.153m 0.010

86 B-B 42 8 1.720 190 DNT D180 TSP15 + 0.079m 0.010

87 B-B 42 13 1.650 190 DNT D180 TSP15 + 0.103m 0.010

88 B-B 42 18 1.600 190 DNT D180 TSP15 + 0.098m 0.010

89 B-B 42 23 1.260 191 DNT D180 TSP16 + 0.138m 0.010

90 B-B 43 4 2.000 190 DNT D180 TSP16 + 0.169m 0.010

91 B-B 43 8 1.550 190 DNT D180 TSP16 + 0.146m 0.010

92 B-B 43 16 1.500 191 DNT D180 TSP15 + 0.079m 0.010

93 B-B 43 20 1.340 191 DNT D180 TSP16 + 0.174m 0.010

94 B-B 43 24 1.340 190 DNT D180 TSP15 + 0.091m 0.010

95 B-B 44 5 1.790 190 DNT D180 TSP16 + 0.146m 0.010

96 B-B 44 9 1.250 191 DNT D180 TSP15 + 0.077m 0.010

